Year From Start,x,dx/dt,cumulative sum x,Change in Slope
59,0.1800,-0.0040,18.9200,
58,0.1840,-0.0110,18.7360,0.0070
57,0.1950,0.0000,18.5410,-0.0110
56,0.1950,-0.0090,18.3460,0.0090
55,0.2040,-0.0100,18.1420,0.0010
54,0.2140,-0.0030,17.9280,-0.0070
53,0.2170,-0.0180,17.7110,0.0150
52,0.2350,0.0050,17.4760,-0.0230
51,0.2300,0.0040,17.2460,0.0010
50,0.2260,-0.0040,17.0200,0.0080
49,0.2300,0.0010,16.7900,-0.0050
48,0.2290,0.0070,16.5610,-0.0060
47,0.2220,-0.0090,16.3390,0.0160
46,0.2310,0.0010,16.1080,-0.0100
45,0.2300,-0.0040,15.8780,0.0050
44,0.2340,-0.0110,15.6440,0.0070
43,0.2450,0.0110,15.3990,-0.0220
42,0.2340,-0.0030,15.1650,0.0140
41,0.2370,-0.0300,14.9280,0.0270
40,0.2670,-0.0110,14.6610,-0.0190
39,0.2780,0.0100,14.3830,-0.0210
38,0.2680,0.0100,14.1150,0.0000
37,0.2580,-0.0040,13.8570,0.0140
36,0.2620,-0.0240,13.5950,0.0200
35,0.2860,0.0060,13.3090,-0.0300
34,0.2800,-0.0050,13.0290,0.0110
33,0.2850,-0.0070,12.7440,0.0020
32,0.2920,-0.0090,12.4520,0.0020
31,0.3010,0.0170,12.1510,-0.0260
30,0.2840,-0.0560,11.8670,0.0730
29,0.3400,0.0000,11.5270,-0.0560
28,0.3400,-0.0080,11.1870,0.0080
27,0.3480,-0.0090,10.8390,0.0010
26,0.3570,0.0030,10.4820,-0.0120
25,0.3540,-0.0090,10.1280,0.0120
24,0.3630,-0.0010,9.7650,-0.0080
23,0.3640,-0.0190,9.4010,0.0180
22,0.3830,-0.0250,9.0180,0.0060
21,0.4080,0.0100,8.6100,-0.0350
20,0.3980,-0.0050,8.2120,0.0150
19,0.4030,-0.0030,7.8090,-0.0020
18,0.4060,-0.0050,7.4030,0.0020
17,0.4110,0.0130,6.9920,-0.0180
16,0.3980,-0.0140,6.5940,0.0270
15,0.4120,0.0000,6.1820,-0.0140
14,0.4120,-0.0220,5.7700,0.0220
13,0.4340,0.0130,5.3360,-0.0350
12,0.4210,0.0160,4.9150,-0.0030
11,0.4050,-0.0010,4.5100,0.0170
10,0.4060,-0.0050,4.1040,0.0040
9,0.4110,-0.0070,3.6930,0.0020
8,0.4180,-0.0040,3.2750,-0.0030
7,0.4220,-0.0020,2.8530,-0.0020
6,0.4240,0.0230,2.4290,-0.0250
5,0.4010,-0.0080,2.0280,0.0310
4,0.4090,-0.0020,1.6190,-0.0060
3,0.4110,0.0040,1.2080,-0.0060
2,0.4070,-0.0010,0.8010,0.0050
1,0.4080,0.0150,0.3930,-0.0160
0,0.3930,0.0000,0.0000,0.0150
